,category,description,link,id,updated_at,price,type,name,created_at
0,Phones & Tablets/Mobile Phones/Smartphones/Android Phones,"Shipped from abroadHuawei Y6(2019) 4GB RAM/64GB ROM Smartphone-BlackKSh 14,998KSh 19,09621%4 out of 5(1)",https://www.jumia.co.ke/huawei-y62019-4gb-ram64gb-rom-smartphone-black-152064848.html,0004181f-c81a-46a1-b482-a4dfcd9033b8,2023-10-22T14:11:59,"KSh 14,998",huawei+y6,Huawei Y6(2019) 4GB RAM/64GB ROM Smartphone-Black,2023-10-22T14:11:59
1,Home & Office/Home & Furniture/Lighting/Lighting Bulbs & Component/Lighting Bulb/Specialty Bulb,"Dp Light Solar LED Rechargeable Bulb With USB And PanelKSh 869 - KSh 1,199KSh 1,500 - KSh 1,80042%3.3 out of 5(7)",https://www.jumia.co.ke/dp-light-solar-led-rechargeable-bulb-with-usb-and-panel-97023782.html,00434ea5-9cd9-480c-b8df-86e991ae8a4c,2023-10-22T13:49:55,"KSh 869 - KSh 1,199",bulbs,Dp Light Solar LED Rechargeable Bulb With USB And Panel,2023-10-22T13:49:55
2,Home & Office/Home & Furniture/Lighting/Lighting Bulbs & Component/Lighting Bulb/Specialty Bulb,"Generic E27 15W WiFi Smart Bluetooth Color BulbKSh 1,290KSh 1,69024%3.7 out of 5(3)",https://www.jumia.co.ke/generic-e27-15w-wifi-smart-bluetooth-color-bulb-135006939.html,00482848-1bc4-4926-8588-be58978e0cb9,2023-10-22T13:49:55,"KSh 1,290",bulbs,Generic E27 15W WiFi Smart Bluetooth Color Bulb,2023-10-22T13:49:55
3,Electronics/Television & Video/Televisions/Smart TVs,"LG 43” FULL HD SMART TV, NETFLIX, YOUTUBE 43LM6370PVBKSh 46,000KSh 59,00022%",https://www.jumia.co.ke/43-full-hd-smart-tv-netflix-youtube-43lm6370pvb-lg-mpg603484.html,00629a7b-3f8a-4490-af2e-44d7774d8cc6,2023-10-24T15:32:48,"KSh 46,000",lg+tv+43,LG 43” FULL HD SMART TV,2023-10-24T15:32:48
4,Electronics/Television & Video/Televisions/Smart TVs,"LG 43UP7750 - 43"" 4K UHD Smart LED TV - Black 2022KSh 55,899KSh 97,00042%",https://www.jumia.co.ke/lg-43up7750-43-4k-uhd-smart-led-tv-black-2022-61876705.html,006ad8a8-a597-42cf-b7ee-a72656a24e98,2023-10-24T15:32:48,"KSh 55,899",lg+tv+43,"LG 43UP7750 - 43"" 4K UHD Smart LED TV - Black 2022",2023-10-24T15:32:48
5,Electronics/Television & Video/Televisions/Smart TVs,"LG 43'' 4K ULTRA HD SMART TV, DTS:X, MAGIC REMOTE, YOU-TUBE- 43UP77KSh 56,500KSh 68,00017%",https://www.jumia.co.ke/lg-43-4k-ultra-hd-smart-tv-dtsx-magic-remote-you-tube-43up77-67964090.html,00b75e53-c76d-4fe9-9343-a6eb15342a4c,2023-10-24T14:55:52,"KSh 56,500",lg+tv+43,LG 43'' 4K ULTRA HD SMART TV,2023-10-24T14:55:52
6,Electronics/Television & Video/Televisions/Smart TVs,"LG 43'' 4K ULTRA HD SMART TV, DTS:X, MAGIC REMOTE, YOU-TUBE- 43UP77KSh 56,500KSh 68,00017%",https://www.jumia.co.ke/lg-43-4k-ultra-hd-smart-tv-dtsx-magic-remote-you-tube-43up77-67964090.html,011bb993-f97a-4f2f-af1b-cd76303faee0,2023-10-24T15:30:01,"KSh 56,500",lg+tv+43,LG 43'' 4K ULTRA HD SMART TV,2023-10-24T15:30:01
7,Home & Office/Home & Furniture/Lighting/Lighting Bulbs & Component/Lighting Bulb/Specialty Bulb,"Generic Smart Rechargeable Energy BulbKSh 1,600KSh 2,76042%4.2 out of 5(5)",https://www.jumia.co.ke/generic-smart-rechargeable-energy-bulb-67372434.html,0120024d-f856-40fa-b0ed-d15d0a570c7b,2023-10-22T13:49:55,"KSh 1,600",bulbs,Generic Smart Rechargeable Energy Bulb,2023-10-22T13:49:55
8,Electronics/Television & Video/Televisions/Smart TVs,"LG 43'' 4K ULTRA HD SMART TV, NETFLIX, MAGIC REMOTE 43UP75KSh 59,000KSh 68,00013%offers from",https://www.jumia.co.ke/43-4k-ultra-hd-smart-tv-netflix-magic-remote-43up75-lg-mpg351796.html,01aaa6ce-ce01-461e-a8a4-b36fee5aca7b,2023-10-24T17:43:58,"KSh 59,000",lg+tv+43,LG 43'' 4K ULTRA HD SMART TV,2023-10-24T17:43:58
9,Electronics/Television & Video/Televisions/Smart TVs,"LG 43"" FULL HD 1080P SMART TV, ACTIVE HDR, NETLIX, WEB BROWSER-43LM6370PVAKSh 46,999KSh 59,00020%",https://www.jumia.co.ke/lg-43-full-hd-1080p-smart-tv-active-hdr-netlix-web-browser-43lm6370pva-67964094.html,023254b8-54bb-43ad-9d8c-30fd69bcb100,2023-10-24T14:51:18,"KSh 46,999",lg+tv+43,"LG 43"" FULL HD 1080P SMART TV",2023-10-24T14:51:18
10,Electronics/Television & Video/Televisions/Smart TVs,"LG 43UP7550PVG 43'' UHD 4K TV HDR WebOS Smart AI ThinQ - 2021KSh 64,6991 out of 5(1)",https://www.jumia.co.ke/lg-43up7550pvg-43-uhd-4k-tv-hdr-webos-smart-ai-thinq-2021-55860190.html,0260c36b-d8d7-48fc-9bfc-90c5f6213805,2023-10-24T14:52:05,"KSh 64,699",lg+tv+43,LG 43UP7550PVG 43'' UHD 4K TV HDR WebOS Smart AI ThinQ - 2021,2023-10-24T14:52:05
